titleM,title,classification,release,runtime,tagline,overview,crew,cast,tags,Status,Original Language,Budget,Revenue,
American Beauty (1999),American Beauty (1999),M/16,01/28/2000 (PT),2h 2m,Look closer.,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.","{'Author, Screenplay': 'Alan Ball', 'Director': 'Sam Mendes'}","{'Kevin Spacey': 'Lester Burnham', 'Annette Bening': 'Carolyn Burnham', 'Thora Birch': 'Jane Burnham', 'Wes Bentley': 'Ricky Fitts', 'Mena Suvari': 'Angela Hayes', 'Chris Cooper': 'Colonel Frank Fitts', 'Allison Janney': 'Barbara Fitts', 'Peter Gallagher': 'Buddy Kane', 'Scott Bakula': 'Jim Olmeyer'}","['adultery', 'parent child relationship', 'midlife crisis', 'coming out', 'first time', 'virgin', 'estate agent', 'cheerleader', 'rose', 'satire', 'loneliness', 'dark comedy', 'suburbia', 'coming of age', 'marijuana', 'love affair', 'exercise', 'extramarital affair', 'quitting a job', 'retired army man', 'closeted homosexual', 'gay', 'teenager']",Released,English,"$15,000,000.00 ","$356,296,601.00 ",
Star Wars: Episode IV - A New Hope (1977),Star Wars (1977),M/12,12/06/1977 (PT),2h 1m,"A long time ago in a galaxy far, far away...",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"{'Director, Writer': 'George Lucas'}","{'Mark Hamill': 'Luke Skywalker', 'Harrison Ford': 'Han Solo', 'Carrie Fisher': 'Princess Leia Organa', 'Peter Cushing': 'Grand Moff Tarkin', 'Alec Guinness': 'Obi-Wan ""Ben"" Kenobi', 'Anthony Daniels': 'C-3PO', 'Kenny Baker': 'R2-D2', 'Peter Mayhew': 'Chewbacca', 'David Prowse': 'Darth Vader (performer)'}","['android', 'galaxy', 'hermit', 'smuggling (contraband)', 'superhero', 'space', 'rescue mission', 'empire', 'rebellion', 'planet', 'desert', 'super power', 'space opera', 'galactic war', 'wizard', 'totalitarianism', 'star', 'star-wars']",Released,English,"$11,000,000.00 ","$775,398,007.00 ",
Star Wars: Episode V - The Empire Strikes Back (1980),The Empire Strikes Back (1980),M/12,12/19/1980 (PT),2h 4m,The Adventure Continues...,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.","{'Director': 'Irvin Kershner', 'Screenplay': 'Lawrence Kasdan', 'Story': 'George Lucas'}","{'Mark Hamill': 'Luke Skywalker', 'Harrison Ford': 'Han Solo', 'Carrie Fisher': 'Princess Leia', 'Billy Dee Williams': 'Lando Calrissian', 'Anthony Daniels': 'C-3PO', 'David Prowse': 'Darth Vader', 'Peter Mayhew': 'Chewbacca', 'Kenny Baker': 'R2-D2', 'Frank Oz': 'Yoda (Voice)'}","['rebel', 'android', 'asteroid', 'spacecraft', 'space battle', 'snowstorm', 'space colony', 'swamp', 'rebellion', 'space opera', 'artic']",Released,English,"$18,000,000.00 ","$538,400,000.00 ",
Star Wars: Episode VI - Return of the Jedi (1983),Return of the Jedi (1983),M/12,10/14/1983 (PT),2h 15m,The Empire Falls...,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.","{'Screenplay, Story': 'George Lucas', 'Director': 'Richard Marquand', 'Screenplay': 'Lawrence Kasdan'}","{'Mark Hamill': 'Luke Skywalker', 'Harrison Ford': 'Han Solo', 'Carrie Fisher': 'Princess Leia', 'Billy Dee Williams': 'Lando Calrissian', 'Anthony Daniels': 'C-3PO', 'Peter Mayhew': 'Chewbacca', 'Sebastian Shaw': 'Anakin Skywalker', 'Ian McDiarmid': 'The Emperor', 'Frank Oz': 'Yoda (voice)'}","['sibling relationship', 'rebel', 'spacecraft', 'emperor', 'space battle', 'matter of life and death', 'forest', 'jabba the hutt', 'ewoks', 'desert', 'space opera']",Released,English,"$32,350,000.00 ","$572,700,000.00 ",
Jurassic Park (1993),Jurassic Park (1993),M/12,10/01/1993 (PT),2h 7m,An adventure 65 million years in the making.,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.","{'Novel, Screenplay': 'Michael Crichton', 'Director': 'Steven Spielberg', 'Screenplay': 'David Koepp'}","{'Sam Neill': 'Dr. Alan Grant', 'Laura Dern': 'Dr. Ellie Sattler', 'Jeff Goldblum': 'Dr. Ian Malcolm', 'Richard Attenborough': 'John Hammond', 'Bob Peck': 'Robert Muldoon', 'Martin Ferrero': 'Donald Gennaro', 'BD Wong': 'Dr. Henry Wu', 'Joseph Mazzello': 'Tim Murphy', 'Ariana Richards': 'Lex Murphy'}","['exotic island', 'dna', 'paleontology', 'tyrannosaurus rex', 'triceratops', 'brontosaurus', 'electric fence', 'island', 'dinosaur', 'amusement park', 'theme park']",Released,English,"$63,000,000.00 ","$920,100,000.00 ",
Saving Private Ryan (1998),Saving Private Ryan (1998),M/14,09/11/1998 (PT),2h 49m,The mission is a man.,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.","{'Director': 'Steven Spielberg', 'Screenplay': 'Robert Rodat'}","{'Tom Hanks': 'Captain John H. Miller', 'Tom Sizemore': 'Technical Sergeant Michael Horvath', 'Edward Burns': 'Private Richard Reiben', 'Matt Damon': 'Private James Francis Ryan', 'Barry Pepper': 'Private Daniel Jackson', 'Adam Goldberg': 'Private Stanley Mellish', 'Vin Diesel': 'Private Adrian Caparzo', 'Giovanni Ribisi': 'T-Medic Irwin Wade', 'Ted Danson': 'Captain Fred Hamill'}","['war crimes', 'self sacrifice', 'war veteran', 'world war ii', 'war ship', 'airplane', 'bravery', 'normandy, france', 'parachute', 'troops', 'waffen ss', 'omaha beach', 'army', 'epic', 'cowardice', 'd-day', 'based on true story', 'rescue mission', 'war memorial', 'deserted town', 'soldier', 'death', 'military', 'military operation', '1940s']",Released,English,"$70,000,000.00 ","$481,840,909.00 ",
Terminator 2: Judgment Day (1991),Terminator 2: Judgment Day (1991),M/12,10/25/1991 (PT),2h 17m,It's nothing personal.,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.","{'Director, Writer': 'James Cameron', 'Writer': 'William Wisher'}","{'Arnold Schwarzenegger': 'The Terminator', 'Linda Hamilton': 'Sarah Connor', 'Edward Furlong': 'John Connor', 'Robert Patrick': 'T-1000', 'Joe Morton': 'Dr. Miles Bennett Dyson', 'Earl Boen': 'Dr. Peter Silberman', 'S. Epatha Merkerson': 'Tarissa Dyson', 'Castulo Guerra': 'Enrique Salceda', 'Danny Cooksey': 'Tim'}","['cyborg', 'shotgun', 'villain', 'time travel', 'post-apocalyptic future', 'dystopia', 'moral ambiguity', 'mental institution', 'juvenile delinquent', 'fictional war', 'urban setting', 'troubled teen', 'morphing', 'nuclear weapons', 'shape shifter', 'savior', 'catch phrase', 'action hero', 'good versus evil', 'terminator']",Released,English,"$102,000,000.00 ","$520,000,000.00 ",
"Matrix, The (1999)",The Matrix (1999),M/12,06/25/1999 (PT),2h 16m,Welcome to the Real World.,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","{'Director, Writer': 'Lana Wachowski'}","{'Keanu Reeves': 'Thomas A. Anderson / Neo', 'Laurence Fishburne': 'Morpheus', 'Carrie-Anne Moss': 'Trinity', 'Hugo Weaving': 'Agent Smith', 'Joe Pantoliano': 'Cypher', 'Marcus Chong': 'Tank', 'Anthony Ray Parker': 'Dozer', 'Matt Doran': 'Mouse', 'Gloria Foster': 'Oracle'}","['saving the world', 'artificial intelligence', 'man vs machine', 'philosophy', 'prophecy', 'martial arts', 'self sacrifice', 'dream', 'fight', 'hacker', 'insurgence', 'simulated reality', 'virtual reality', 'dystopia', 'truth', 'cyberpunk', 'dream world', 'woman director', 'messiah', 'action hero', 'gnosticism']",Released,English,"$63,000,000.00 ","$463,517,383.00 ",
Back to the Future (1985),Back to the Future (1985),M/6,12/19/1986 (PT),1h 56m,He's the only kid ever to get into trouble before he was born.,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","{'Director, Writer': 'Robert Zemeckis', 'Writer': 'Bob Gale'}","{'Michael J. Fox': 'Marty McFly', 'Christopher Lloyd': 'Emmett Brown', 'Lea Thompson': 'Lorraine Baines', 'Crispin Glover': 'George McFly', 'Thomas F. Wilson': 'Biff Tannen', 'Claudia Wells': 'Jennifer Parker', 'Marc McClure': 'Dave McFly', 'Wendie Jo Sperber': 'Linda McFly', 'George DiCenzo': 'Sam Baines'}","['clock tower', 'flying car', 'car race', 'terrorist', 'lightning', 'guitar', 'plutonium', 'inventor', 'journey in the past', 'invention', 'time travel', 'race against time', 'bullying', 'mad scientist', 'fish out of water', 'teenage love', 'destiny', 'hidden identity', 'love and romance', 'teenage life', 'changing the past or future', '1950s']",Released,English,"$19,000,000.00 ","$381,109,762.00 ",
"Silence of the Lambs, The (1991)",The Silence of the Lambs (1991),M/16,09/06/1991 (PT),1h 59m,To enter the mind of a killer she must challenge the mind of a madman.,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.","{'Director': 'Jonathan Demme', 'Novel': 'Thomas Harris', 'Screenplay': 'Ted Tally'}","{'Jodie Foster': 'Clarice M. Starling', 'Anthony Hopkins': 'Dr. Hannibal Lecter', 'Scott Glenn': 'Jack Crawford', 'Ted Levine': ""Jame 'Buffalo Bill' Gumb"", 'Anthony Heald': 'Dr. Frederick Chilton', 'Brooke Smith': 'Catherine Martin', 'Diane Baker': 'Senator Ruth Martin', 'Kasi Lemmons': 'Ardelia Mapp', 'Frankie Faison': 'Barney Matthews'}","['based on novel or book', 'fbi', 'kidnapping', 'psychopath', 'horror', 'murder', 'serial killer', 'psychological thriller', 'brutality', 'cannibal', 'moth', 'virginia']",Released,English,"$19,000,000.00 ","$272,742,922.00 ",
